@W: CL265 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\hdl\host_uart.v":103:4:103:9|Removing unused bit 7 of rx_buf[0][7:0]. Either assign all bits or reduce the width of the signal.
@W: CL168 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\smartgen\mult_16x14_3p\mult_16x14_3p.v":1776:9:1776:15|Removing instance AND2_61 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\smartgen\mult_16x14_3p\mult_16x14_3p.v":1757:9:1757:16|Removing instance AND2_107 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\smartgen\mult_16x14_3p\mult_16x14_3p.v":1744:9:1744:15|Removing instance AND2_41 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\smartgen\mult_16x14_3p\mult_16x14_3p.v":1715:9:1715:15|Removing instance AND2_54 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\smartgen\mult_16x14_3p\mult_16x14_3p.v":1642:9:1642:16|Removing instance AND2_208 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\smartgen\mult_16x14_3p\mult_16x14_3p.v":1638:9:1638:15|Removing instance AND2_92 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\smartgen\mult_16x14_3p\mult_16x14_3p.v":1637:9:1637:14|Removing instance AND2_5 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\smartgen\mult_16x14_3p\mult_16x14_3p.v":1605:9:1605:16|Removing instance AND2_200 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\smartgen\mult_16x14_3p\mult_16x14_3p.v":1551:9:1551:15|Removing instance AND2_80 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\smartgen\mult_16x14_3p\mult_16x14_3p.v":1528:9:1528:16|Removing instance AND2_221 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\smartgen\mult_16x14_3p\mult_16x14_3p.v":1521:9:1521:16|Removing instance AND2_159 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\smartgen\mult_16x14_3p\mult_16x14_3p.v":1475:9:1475:16|Removing instance AND2_142 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\smartgen\mult_16x14_3p\mult_16x14_3p.v":1451:9:1451:16|Removing instance AND2_176 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\smartgen\mult_16x14_3p\mult_16x14_3p.v":1312:9:1312:16|Removing instance AND2_113 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL168 :"C:\Users\aamar\Documents\SeniorSem2\4806-MDE\asoc-cfd\asoc-cfd\fpga\LiberoProject\FullSystem\smartgen\mult_16x14_3p\mult_16x14_3p.v":1293:9:1293:15|Removing instance AND2_87 because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
